,法人名,職種,給与情報
0,['ファミリーマート江東福住一丁目店'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、デリ・惣菜販売・スイーツ販売']","['交通費有', '扶養控除内', '昇給あり', '[ア・パ]時給1,072円～', '交通費：全額支給', '●昇給あり', '●交通費全額支給', '時給1,072円', '※22時以降は1.25倍！', '……《月収例》……', '●週3日・午前中のみ(主婦', 'Aさん)', '時給1,072円×4h×12日＝＼5万円以上／', '●週5日・夕方～夜まで(フリーター', 'Yさん)', '時給1,072円×5h×20日＝＼10万円以上／', '新型コロナウイルス関連の支援について', '《ファミリーマート江東福住一丁目店》は', 'ファミリー層も多い「門前仲町駅」から徒歩6分にある', 'コンビニエンスストア。', '開発された綺麗なエリアもあれば', '昔ながらの家並もあり、都心だけど都心すぎず、', '下町情緒を感じる街、というのが第一印象でした。', '店長さんにお店のことをお伺いしたところ', '「アットホームで働きやすい雰囲気を心掛けています」', 'とのこと。', '「どんなに時給が良くても、交通の便が良くても', '人間関係がギスギスしていたり', 'ハードな勤務シフトだったりしたら', '誰だってイヤですよね。', 'だから、みんなが気持ち良く働ける様に', '自分ができる限りのことをしてあげたいんです」', '確かに、ここのシフトは', 'このエリアに多くいる主婦さんや、学生さんにも', '柔軟に対応してくれる。', '「こないだ入った子はね、『家族でやってるみたい』なんて言ってくれたんですよ」', 'と、インタビューで話してくれた店長さんの笑顔を見て', 'ほっこり暖かくなりました。']"
1,['ファミリーマート東京成徳学園前店'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、案内(インフォメーション/レセプション)・フロント']","['交通費有', '扶養控除内', '昇給あり', '[ア・パ]時給1,100円～1,375円', '交通費：一部支給', '応相談', '■□■━…‥‥…━…‥‥…━…‥', '夜勤もあってしっかり稼げる♪', '‥…━…‥‥…━…‥‥…━□■□', '≪日勤≫', '時給:1,100円(研修期間中は1,080円)', '≪夜勤≫', '時給1,375円(研修期間中は1,350円)', '※22:00～翌5:00は18歳以上', '頑張り次第で昇給あり★', '◎月収例', '・夕方のピークタイムに稼ぎたいAさんの場合(週2日5時間勤務)', '時給1,080円×1日5時間勤務×月8日＝43,200円', '・夜中にがっつり働きたいBくんの場合(週5日7時間勤務)', '時給1,350円×1日7時間勤務×月20日=189,000円', '※22:00～05:00は深夜割増を含みます。']"
2,"['セブン-イレブン', '駒場大橋店']","['コンビニ', '[ア・パ]レジ打ち、デリ・惣菜販売・スイーツ販売、品出し(ピッキング)']","['交通費有', '高収入', '扶養控除内', '昇給あり', '[ア・パ]時給1,370円～', '交通費：全額支給', '①夜勤→時給1,370円~', '※研修期間あり(時給変動なし)', '※深夜手当あり(22時以降)', '※交通費全額支給', '＜月収例＞', '◆wワーク先としてお小遣いの足しにしたい！', '⇒時給1,370円×8h×週に2日出勤', '月収…87,680円', '◆がっつり稼ぎたい!!', '⇒時給1,370円×8h×週に5日出勤', '月収…241,120円', '履歴書不要なのでお気軽にご応募ください♪', '+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+', '▼従業員限定の割引特典あり▼', '宿泊施設・飲食店や', '温泉・レジャー施設', '映画・フィットネス・カラオケなどが', 'お得に使えるようになります◎']"
3,['セブンイレブン中野駅南口店'],"['コンビニ', '[ア・パ]レジ打ち、デリ・惣菜販売・スイーツ販売、販売その他']","['交通費有', '扶養控除内', '昇給あり', '[ア・パ]時給1,090円～', '交通費：全額支給', '■(1)22:00～翌8:00', '・1,362円～', '■(2)17:00～22:00', '・1,090円～', '■(3)13:00～17:00', '・1,090円～', '■研修期間30日', '(短縮あり/時給1,072円)', '【収入例】', '■夜勤でガッツリ稼ぎたい方', '(夢追いさん・フリーター・Wワーク)', '時給1,362円×9h×週2日＝月収98,064円', '■学生の方', '時給1,090円×5h×週3日＝月収65,400円', '※月4週で計算した金額', '【別途支給】', '■昇給あり', '新型コロナウイルス関連の支援について', '駅からすぐのセブンイレブン中野駅南口店さんです。', 'オープンから1年のとてもきれいな店舗です！', '初めてのバイトでも、', '新たな環境への挑戦でも、', '未経験でも大丈夫です。', '店長さんも優しくいろいろな相談を', '聞いてくださいます。', 'ぜひ応募してください☆']"
4,['ファミリーマート日土地西新宿ビル店'],"['オフィスビル内のコンビニ', '[ア・パ]①②レジ打ち、販売その他、棚卸し']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]①時給1,250円～、②時給1,150円～', '交通費：全額支給', '＼2月より時給upしました！！／', '・朝勤(06:00～09:00)', '⇒1,250円～', '・日勤/夕勤(09:00～22:00)', '⇒1,150円～', '■随時昇給あり', '■研修時給：変動なし', '――――――――――――――――――――', '＊昇給について＊', 'ファミリーマートSSTで★★ランク既取得者、', '入社後に取得した方は、、、', '更に時給50円アップ！！', '・朝勤', '⇒1,300円～', '・日勤/夕勤', '⇒1,200円～', '実際に現在、在籍しているスタッフは', 'みんな昇給済み！(入社3か月の方もいます)', '――――――――――――――――――――', 'ファミリーマートSSTとは、、、', '独自の「ストアスタッフ資格制度」です。', 'オンラインにてテストを受けることが出来ます。', '新型コロナウイルス関連の支援について', '11月にリニューアルオープンして', 'もっともっと綺麗になっておりました！！', 'リニューアル前からお伺いしていましたが', 'オフィスビル内であることもあり', '綺麗な店内でした。', 'しかしリニューアル後に', 'お伺いすると、更にパワーアップ！', '窓が出来たことで店内も事務所内も', 'とっても明るく、床もピカピカです。', '事務所もとても広くなっていたので', '休憩時間もゆっくり出来そうでした。', '綺麗な職場で働きたい！', 'そんな方にも嬉しいお仕事場です☆']"
5,['株式会社水野屋商店'],"['コンビニ', '[ア・パ]①②レジ打ち、販売その他、品出し(ピッキング)']","['交通費有', '高収入', '扶養控除内', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]①時給1,500円～、②時給1,200円～', '交通費：一部支給', '[22:00~翌5:00]1,500円～', '[5:00~22:00]1,200円～', '※昇給あり', '※研修時給なし', '※深夜時給', '※残業手当あり', '【収入例】', '深夜で一気に働きたい！', '●深夜Aくん（週5日勤務）', '1日あたり11,400円（実働9h）×23日', '＝月収262,200円+交通費', 'しっかり稼ぎたい方！', '●夕勤Bくん（週5勤務）', '時給1,200円×実働7h×20日', '=月収168,000円＋交通費', '学校・サークル終わりに！', '●夕勤Cくん（週3勤務）', '時給1,200円×実働4h×12日', '=月収57,600円+交通費', 'お給料日は毎月10日！', '今月がんばった分は来月10日にもらえます！', '授業・サークル終わりの空いた時間に', 'サクッとお小遣い稼ぎしちゃいましょう♪', '新型コロナウイルス関連の支援について', '実際にインタビューさせて頂いたdipさんから一言', '￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣', '＊社長がとっても優しいです', '取材に行った際に、', '社長と従業員間のコミュニケーションを', '隣で聴いておりましたが、', '終始雰囲気が良かったです。', '”頑張ろう！”など', 'そういった一言も従業員の励みになるんだろうな、と', '個人的に見ていて和んだ時間でした', '＊スタッフ同士も仲良し', '動画を是非見て頂きたいですが、', '姉妹店のスタッフはみんな仲良しです◎', 'まれに新宿エリアのグループ店舗で', 'プライベートでご飯にいく仲だそうですよ！', 'コンビニでここまで仲良いのも', 'なかなか珍しいなと思いました♪', '今回は、新たな仲間を大募集するタイミングなので', 'ファミマで青春したい方、オススメです！']"
6,['株式会社オーシーエスエンタープライズ'],"['ANAグループ会社のコンビニ', '[ア・パ]レジ打ち、仕分け・シール貼り、品出し(ピッキング)']","['交通費有', '高収入', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]時給1,250円～', '交通費：全額支給', '■自転車通勤OK！', '■車・バイク通勤はご遠慮ください。', '＜給与一例＞', '時給1250円×8時間×22日', '＝220,000円', '新型コロナウイルス関連の支援について', '社内の人のみが利用するコンビニなので、', 'スタッフさんもだんだん顔見知りになってきます！', '全員社内の人なので、', 'セキュリティ面でも安心して働けるコンビニです◎', 'お店を出たところは見晴らしのいい大きな窓ばりの', '社員食堂になっており、', '外の空気も少し吸えるとてもいい環境です！', '他のコンビニと一味違う、', '働きやすい職場を選びませんか？']"
7,['ベネレイト株式会社'],"['コンビニ', '[ア・パ]①②レジ打ち、品出し(ピッキング)、サービスその他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]①時給1,150円～、②時給1,400円～', '交通費：一部支給', '当社規定内支給', '◆昇給有', '◆時間・曜日応相談', '◆試用期間あり', '（個人差はありますが、1～5日出勤程度です）', '新型コロナウイルス関連の支援について', '【定着率◎のファミマです。】', '実際のスタッフに聞くと', '2年以上いるスタッフも多く、', 'シフトの相談など、柔軟に対応してくれたり、', '先輩が気にかけてくれるので', '無理なく続くんだとか。', '初めてのアルバイトがここ！という', 'スタッフもいるので', 'これから初バイト！という方にもおすすめです。']"
8,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
9,"['ファミリーマート', '東京都庁第二本庁舎店']","['ファミマ!!東京都庁第二本庁舎店', '[ア・パ]①②③デリ・惣菜販売・スイーツ販売、案内(インフォメーション/レセプション)・フロント、品出し(ピッキング)']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]①時給1,200円～、②③時給1,150円～', '交通費：全額支給', '■早朝手当あり', '■扶養内勤務OK', '場所柄スタッフも学生さんや', 'ちょこっと稼ぎたい4，50代の方も多いです。', '【月収例】', '■スキマ時間に働く場合…', '時給1,150円×5h×10日＝5万7,500円！', '■しっかりバイトをするなら…', '時給1,150円×5h×18日＝10万3,500円！', '■昇給あり', '【昇給制度について】', '・雇用形態：アルバイト、パート', '・昇給額：50円～100円(1回あたり)※昨年度実績', '・回数：不定期', '・反映時期：翌月の給与から反映', '・評価手法：業務態度等を評価', '新型コロナウイルス関連の支援について', '実際に伺うと、やはり都庁勤務の方のご利用が多く、', '落ち着いたお客様が多いそう。', '場所柄、いきなり怖い思いをする、、、なんてことは', '全く心配ない、安全な職場なのでは！？と感じました。', 'お仕事がわかりやすいからこそ、初めてのアルバイトや', '隙間時間での業務として選びやすいです。', 'オシャレで綺麗なところも嬉しいポイントです。']"
